"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Kadapa","I","R",0.1863226623601279,0.8136773376398722,27,7,4,26.0,7
"Srikakulam","I","I",0.15800032275268155,0.8419996772473185,27,7,9,26.0,7
"Visakhapatnam","I","I",0.062068222752176626,0.9379317772478234,27,7,10,26.0,7
"Kurnool","I","I",0.021142636122987772,0.9788573638770123,27,7,6,26.0,7
"Nellore","S","I",0.9330318902444233,0.06696810975557659,27,7,7,26.0,7
"Anantapur","S","S",0.8527750866642254,0.1472249133357745,27,7,0,26.0,7
"Chittoor","I","R",0.010144225609579768,0.9898557743904202,27,7,1,26.0,7
"Guntur","I","I",0.11484278193749413,0.8851572180625059,27,7,3,26.0,7
"Prakasam","I","I",0.026832477380462558,0.9731675226195374,27,7,8,26.0,7
"East-Godavari","I","I",0.005842172038766521,0.9941578279612335,27,7,2,26.0,7
"West-Godavari","R","S",1.0,0.0,28,7,12,27.0,7
"Krishna","I","I",0.005119163719801402,0.9948808362801985,28,7,5,27.0,7
"Vizianagaram","I","R",0.057951411678580235,0.9420485883214197,28,7,11,27.0,7
"Kadapa","I","I",0.11266044178544721,0.8873395582145528,28,7,4,27.0,7
"Srikakulam","I","I",0.1102584542567485,0.8897415457432516,28,7,9,27.0,7
"Visakhapatnam","I","I",0.04294929951008515,0.9570507004899149,28,7,10,27.0,7
"Kurnool","I","I",0.01575295280986196,0.984247047190138,28,7,6,27.0,7
"Nellore","I","I",0.004852862588218946,0.995147137411781,28,7,7,27.0,7
"Anantapur","S","I",1.0,0.0,28,7,0,27.0,7
"Chittoor","I","I",0.0069734364531547945,0.9930265635468453,28,7,1,27.0,7
"Guntur","I","I",0.08407964711211773,0.9159203528878823,28,7,3,27.0,7
"Prakasam","I","I",0.018787757177742174,0.9812122428222579,28,7,8,27.0,7
"East-Godavari","I","I",0.004031157575699993,0.9959688424243001,28,7,2,27.0,7
"West-Godavari","R","R",0.47499033573106736,0.5250096642689327,29,7,12,28.0,7
"Krishna","I","I",0.007351597803181321,0.9926484021968186,29,7,5,28.0,7
"Vizianagaram","I","I",0.10848740711606979,0.8915125928839303,29,7,11,28.0,7
"Kadapa","I","I",0.1489168920865105,0.8510831079134894,29,7,4,28.0,7
"Srikakulam","I","I",0.11061750206996418,0.8893824979300358,29,7,9,28.0,7
"Visakhapatnam","I","I",0.06779166178990756,0.9322083382100924,29,7,10,28.0,7
"Kurnool","I","R",0.05839663794871845,0.9416033620512815,29,7,6,28.0,7
"Nellore","R","S",0.44883005272004123,0.5511699472799587,29,7,7,28.0,7
"Anantapur","S","I",1.0,0.0,29,7,0,28.0,7
"Chittoor","I","I",0.025924335453959817,0.9740756645460402,29,7,1,28.0,7
"Guntur","I","I",0.0994253154907034,0.9005746845092966,29,7,3,28.0,7
"Prakasam","I","I",0.04349638467842572,0.9565036153215742,29,7,8,28.0,7
"East-Godavari","I","I",0.006648541188830473,0.9933514588111696,29,7,2,28.0,7
"West-Godavari","S","I",1.0,0.0,30,7,12,29.0,7
"Krishna","I","I",0.0045953539792304154,0.9954046460207695,30,7,5,29.0,7
"Vizianagaram","I","I",0.045532134850888424,0.9544678651491116,30,7,11,29.0,7
"Kadapa","I","I",0.057179143768068826,0.9428208562319312,30,7,4,29.0,7
"Srikakulam","I","I",0.0057138919208786654,0.9942861080791214,30,7,9,29.0,7
"Visakhapatnam","I","I",0.03048167794435772,0.9695183220556423,30,7,10,29.0,7
"Kurnool","I","I",0.03957193215299465,0.9604280678470053,30,7,6,29.0,7
"Nellore","R","S",1.0,0.0,30,7,7,29.0,7
"Anantapur","I","I",0.03690280799133044,0.9630971920086695,30,7,0,29.0,7
"Chittoor","I","I",0.026370709132653214,0.9736292908673468,30,7,1,29.0,7
"Guntur","I","I",0.038061088954753915,0.9619389110452461,30,7,3,29.0,7
"Prakasam","I","I",0.03495007905276501,0.965049920947235,30,7,8,29.0,7
"East-Godavari","I","I",0.003794598469082415,0.9962054015309175,30,7,2,29.0,7
"West-Godavari","S","I",1.0,0.0,31,7,12,30.0,7
"Krishna","I","I",0.01253760959520353,0.9874623904047964,31,7,5,30.0,7
"Vizianagaram","I","I",0.12803801014140082,0.8719619898585992,31,7,11,30.0,7
"Kadapa","R","R",3.978006978251965E-4,0.9996021993021748,31,7,4,30.0,7
"Srikakulam","I","I",0.016792512942572533,0.9832074870574274,31,7,9,30.0,7
"Visakhapatnam","I","I",0.07884457279463067,0.9211554272053694,31,7,10,30.0,7
"Kurnool","I","I",0.09907716242433742,0.9009228375756626,31,7,6,30.0,7
"Nellore","R","R",0.9854842319665779,0.014515768033422156,31,7,7,30.0,7
"Anantapur","I","I",0.1582697957425745,0.8417302042574255,31,7,0,30.0,7
"Chittoor","I","I",0.06396390670104764,0.9360360932989523,31,7,1,30.0,7
"Guntur","I","I",0.08334115485511617,0.9166588451448837,31,7,3,30.0,7
"Prakasam","I","I",0.07864145349906598,0.9213585465009341,31,7,8,30.0,7
"East-Godavari","I","I",0.010488788227357883,0.9895112117726421,31,7,2,30.0,7
"West-Godavari","S","I",0.9653114517028004,0.03468854829719954,32,7,12,31.0,7
"Krishna","I","I",0.0,1.0,32,7,5,31.0,7
"Vizianagaram","I","I",0.0,1.0,32,7,11,31.0,7
"Kadapa","S","I",0.5334681750079597,0.4665318249920404,32,7,4,31.0,7
