"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Solan","I","R",0.38845536354792237,0.6115446364520777,11,1,10,10.0,1
"Kangra","I","I",NaN,NaN,12,1,3,11.0,1
"Hamirpur","R","R",0.033320054125446086,0.966679945874554,12,1,2,11.0,1
"Mandi","I","R",1.0,0.0,12,1,7,11.0,1
"Chamba","R","R",0.5227670116800638,0.4772329883199363,12,1,1,11.0,1
"Una","I","R",1.0,0.0,12,1,11,11.0,1
"Sirmaur","R","R",0.29073769789690485,0.7092623021030952,12,1,9,11.0,1
"Kullu","S","S",0.7123464925253776,0.28765350747462237,12,1,5,11.0,1
"Shimla","I","R",1.0,0.0,12,1,8,11.0,1
"Bilaspur","S","S",0.011299920514614769,0.9887000794853853,12,1,0,11.0,1
"Kinnaur","S","S",NaN,NaN,12,1,4,11.0,1
"Lahul-Spiti","R","R",0.09373472175320896,0.906265278246791,12,1,6,11.0,1
"Solan","R","R",0.5323975517633938,0.46760244823660624,12,1,10,11.0,1
"Kangra","I","R",1.0,0.0,13,1,3,12.0,1
"Hamirpur","R","S",1.0,0.0,13,1,2,12.0,1
"Mandi","I","R",0.7697477405425334,0.23025225945746672,13,1,7,12.0,1
"Chamba","R","S",1.0,0.0,13,1,1,12.0,1
"Una","I","R",1.0,0.0,13,1,11,12.0,1
"Sirmaur","S","S",0.16009102703679587,0.8399089729632041,13,1,9,12.0,1
"Kullu","S","S",0.48324561278092415,0.5167543872190759,13,1,5,12.0,1
"Shimla","I","I",0.0,1.0,13,1,8,12.0,1
"Bilaspur","S","S",0.09964285625435204,0.900357143745648,13,1,0,12.0,1
"Kinnaur","S","S",NaN,NaN,13,1,4,12.0,1
"Lahul-Spiti","S","I",0.32405966414138454,0.6759403358586155,13,1,6,12.0,1
"Solan","S","S",0.057302260938616636,0.9426977390613833,13,1,10,12.0,1
"Kangra","I","I",NaN,NaN,14,1,3,13.0,1
"Hamirpur","S","I",0.886533135329877,0.11346686467012296,14,1,2,13.0,1
"Mandi","I","R",0.7064044255929968,0.29359557440700323,14,1,7,13.0,1
"Chamba","R","R",NaN,NaN,14,1,1,13.0,1
"Una","I","I",0.0,1.0,14,1,11,13.0,1
"Sirmaur","S","I",0.6325019276471656,0.3674980723528344,14,1,9,13.0,1
"Kullu","I","I",0.07264441953959563,0.9273555804604044,14,1,5,13.0,1
"Shimla","I","I",0.0,1.0,14,1,8,13.0,1
"Bilaspur","I","I",0.032460259955089686,0.9675397400449103,14,1,0,13.0,1
"Kinnaur","S","S",NaN,NaN,14,1,4,13.0,1
"Lahul-Spiti","S","I",0.7206408696626848,0.27935913033731524,14,1,6,13.0,1
"Solan","I","I",0.005863613104055785,0.9941363868959442,14,1,10,13.0,1
"Kangra","I","I",NaN,NaN,15,1,3,14.0,1
"Hamirpur","S","I",0.8919926261788781,0.108007373821122,15,1,2,14.0,1
"Mandi","I","I",0.06361807375248404,0.9363819262475159,15,1,7,14.0,1
"Chamba","S","I",1.0,0.0,15,1,1,14.0,1
"Una","I","R",1.0,0.0,15,1,11,14.0,1
"Sirmaur","S","I",0.6325413196119687,0.3674586803880313,15,1,9,14.0,1
"Kullu","I","I",0.2190917127964552,0.7809082872035449,15,1,5,14.0,1
"Shimla","I","I",0.0,1.0,15,1,8,14.0,1
"Bilaspur","R","S",1.0,0.0,15,1,0,14.0,1
"Kinnaur","I","I",NaN,NaN,15,1,4,14.0,1
"Lahul-Spiti","S","S",0.7121650346519096,0.28783496534809033,15,1,6,14.0,1
"Solan","I","I",0.08318854599036968,0.9168114540096303,15,1,10,14.0,1
"Kangra","I","I",NaN,NaN,16,1,3,15.0,1
"Hamirpur","S","I",1.0,0.0,16,1,2,15.0,1
"Mandi","I","I",0.11968995056018271,0.8803100494398173,16,1,7,15.0,1
"Chamba","S","I",1.0,0.0,16,1,1,15.0,1
"Una","I","R",1.0,0.0,16,1,11,15.0,1
"Sirmaur","I","I",0.0496423348649504,0.9503576651350496,16,1,9,15.0,1
"Kullu","I","I",0.15657185019962394,0.8434281498003761,16,1,5,15.0,1
"Shimla","I","I",0.0,1.0,16,1,8,15.0,1
"Bilaspur","R","S",1.0,0.0,16,1,0,15.0,1
"Kinnaur","R","R",NaN,NaN,16,1,4,15.0,1
"Lahul-Spiti","I","I",0.036022333969754676,0.9639776660302454,16,1,6,15.0,1
"Solan","I","I",0.1200367254946097,0.8799632745053902,16,1,10,15.0,1
"Kangra","I","I",0.0,1.0,17,1,3,16.0,1
"Hamirpur","I","I",0.0,1.0,17,1,2,16.0,1
"Mandi","I","I",0.0,1.0,17,1,7,16.0,1
"Chamba","S","I",0.9759984764261382,0.02400152357386175,17,1,1,16.0,1
"Una","I","I",0.0,1.0,17,1,11,16.0,1
"Sirmaur","I","I",0.0,1.0,17,1,9,16.0,1
"Kullu","I","I",0.0,1.0,17,1,5,16.0,1
"Shimla","I","I",0.0,1.0,17,1,8,16.0,1
"Bilaspur","S","I",0.8958065279431939,0.10419347205680611,17,1,0,16.0,1
"Kinnaur","R","R",NaN,NaN,17,1,4,16.0,1
"Lahul-Spiti","I","I",0.0,1.0,17,1,6,16.0,1
