"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Tirunelveli","I","I",0.19573509761347258,0.8042649023865275,7,1,24,6.0,1
"Sivaganga","S","S",0.13514050681518985,0.8648594931848101,7,1,19,6.0,1
"Thanjavur","I","R",0.08147391031844133,0.9185260896815587,7,1,20,6.0,1
"Thoothukudi","S","I",0.9998999374909582,1.0006250904179943E-4,7,1,22,6.0,1
"Tiruvallur","I","I",0.0,1.0,7,1,26,6.0,1
"Tiruvarur","I","I",0.15276297725215915,0.8472370227478409,7,1,28,6.0,1
"Tiruppur","I","I",0.1679706505054209,0.8320293494945792,7,1,25,6.0,1
"Cuddalore","S","I",0.883546136598233,0.11645386340176697,7,1,3,6.0,1
"Namakkal","I","I",0.1291916661524409,0.8708083338475591,7,1,13,6.0,1
"Virudhunagar","R","S",1.0,0.0,7,1,31,6.0,1
"Chennai","I","I",0.0,1.0,7,1,1,6.0,1
"Kanyakumari","I","I",0.0,1.0,7,1,8,6.0,1
"Salem","I","I",0.18810399283624213,0.8118960071637578,7,1,18,6.0,1
"Dindigul","I","I",0.10194769713347714,0.8980523028665229,7,1,5,6.0,1
"Dharmapuri","I","I",0.06385557460672331,0.9361444253932767,7,1,4,6.0,1
"Krishnagiri","I","I",0.07356492508406737,0.9264350749159327,7,1,10,6.0,1
"Nilgiris","R","S",0.9867961301789587,0.013203869821041334,7,1,14,6.0,1
"Madurai","I","I",0.18065328649911513,0.8193467135008848,7,1,11,6.0,1
"Pudukkottai","R","S",0.8345998171724873,0.16540018282751268,7,1,16,6.0,1
"Karur","S","S",0.11235955229219088,0.887640447707809,7,1,9,6.0,1
"Viluppuram","I","I",0.13656759552559644,0.8634324044744036,7,1,30,6.0,1
"Nagapattinam","S","S",0.00950732222937446,0.9904926777706256,7,1,12,6.0,1
"Ramanathapuram","I","I",0.05180252420315763,0.9481974757968424,7,1,17,6.0,1
"Tiruchirappalli","S","S",0.037777927595162186,0.9622220724048378,7,1,23,6.0,1
"Coimbatore","I","I",0.0,1.0,8,1,2,7.0,1
"Tiruvannamalai","I","I",0.07657214536007595,0.923427854639924,8,1,27,7.0,1
"Perambalur","I","I",0.003924604349558967,0.996075395650441,8,1,15,7.0,1
"Kanchipuram","S","I",0.7114500709525328,0.28854992904746724,8,1,7,7.0,1
"Vellore","I","I",0.0834457183854155,0.9165542816145845,8,1,29,7.0,1
"Erode","I","I",0.04460223602021913,0.9553977639797808,8,1,6,7.0,1
"Theni","I","I",0.0,1.0,8,1,21,7.0,1
"Ariyalur","S","I",0.6003870677673524,0.39961293223264754,8,1,0,7.0,1
"Tirunelveli","I","I",0.0,1.0,8,1,24,7.0,1
"Sivaganga","I","I",0.01578536478029365,0.9842146352197063,8,1,19,7.0,1
"Thanjavur","I","I",0.0778795114385185,0.9221204885614814,8,1,20,7.0,1
"Thoothukudi","S","I",0.978948787839545,0.021051212160455097,8,1,22,7.0,1
"Tiruvallur","I","I",0.0,1.0,8,1,26,7.0,1
"Tiruvarur","I","R",0.11776469250781313,0.8822353074921868,8,1,28,7.0,1
"Tiruppur","I","I",0.139137117528242,0.860862882471758,8,1,25,7.0,1
"Cuddalore","S","I",0.962306247420028,0.03769375257997201,8,1,3,7.0,1
"Namakkal","I","I",0.10562883952049502,0.8943711604795049,8,1,13,7.0,1
"Virudhunagar","S","S",6.851026084742658E-4,0.9993148973915258,8,1,31,7.0,1
"Chennai","I","I",0.0,1.0,8,1,1,7.0,1
"Kanyakumari","I","I",0.0,1.0,8,1,8,7.0,1
"Salem","I","I",0.15528364995074376,0.8447163500492564,8,1,18,7.0,1
"Dindigul","I","I",0.0,1.0,8,1,5,7.0,1
"Dharmapuri","I","I",0.06326969276177305,0.9367303072382269,8,1,4,7.0,1
"Krishnagiri","I","I",0.07437238553747946,0.9256276144625205,8,1,10,7.0,1
"Nilgiris","R","S",0.9730868236872448,0.026913176312755194,8,1,14,7.0,1
"Madurai","I","I",0.06782026776826183,0.9321797322317381,8,1,11,7.0,1
"Pudukkottai","R","S",0.6695586873032144,0.3304413126967855,8,1,16,7.0,1
"Karur","S","S",0.647720081656536,0.3522799183434639,8,1,9,7.0,1
"Viluppuram","I","I",0.09809889806956827,0.9019011019304317,8,1,30,7.0,1
"Nagapattinam","I","I",0.03009397960936521,0.9699060203906348,8,1,12,7.0,1
"Ramanathapuram","I","I",0.05154582506234772,0.9484541749376523,8,1,17,7.0,1
"Tiruchirappalli","I","I",0.0204252509879929,0.9795747490120071,8,1,23,7.0,1
"Coimbatore","I","I",0.0,1.0,9,1,2,8.0,1
"Tiruvannamalai","I","I",0.0,1.0,9,1,27,8.0,1
"Perambalur","R","S",1.0,0.0,9,1,15,8.0,1
"Kanchipuram","I","I",0.0,1.0,9,1,7,8.0,1
"Vellore","I","I",0.0,1.0,9,1,29,8.0,1
"Erode","I","I",0.0,1.0,9,1,6,8.0,1
"Theni","I","I",0.0,1.0,9,1,21,8.0,1
"Ariyalur","S","I",0.9950528274770448,0.004947172522955176,9,1,0,8.0,1
"Tirunelveli","I","I",0.0,1.0,9,1,24,8.0,1
"Sivaganga","I","R",0.19871854328730798,0.801281456712692,9,1,19,8.0,1
"Thanjavur","I","I",0.002835098803871462,0.9971649011961286,9,1,20,8.0,1
"Thoothukudi","I","I",0.0,1.0,9,1,22,8.0,1
"Tiruvallur","I","I",0.0,1.0,9,1,26,8.0,1
